config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_temporal_acc,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_temporal_acc,val_pred_counts
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,1,0.7071819491200633,0.4935064935064935,0.5,0.33043478260869563,0.4886887306242145,"{""0"": 77}",0.6997809290885926,0.5,0.5,0.3333333333333333,0.5,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,2,0.6988517332386661,0.4935064935064935,0.5,0.33043478260869563,0.4965437788018433,"{""0"": 77}",0.6983175635337829,0.5,0.5,0.3333333333333333,0.5,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,3,0.6947024085304954,0.4935064935064935,0.5,0.33043478260869563,0.49832425638877254,"{""0"": 77}",0.6949049830436707,0.5,0.5,0.3333333333333333,0.5048387096774194,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,4,0.6905433504612415,0.4935064935064935,0.5,0.33043478260869563,0.5094260578131546,"{""0"": 77}",0.6920928001403809,0.5,0.5,0.3333333333333333,0.5004032258064516,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,5,0.6862846311036642,0.4935064935064935,0.5,0.33043478260869563,0.5256598240469208,"{""0"": 77}",0.688223922252655,0.5,0.5,0.3333333333333333,0.5157258064516129,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,6,0.6832686956826742,0.4935064935064935,0.5,0.33043478260869563,0.5377042312526183,"{""0"": 77}",0.6845530033111572,0.5,0.5,0.3333333333333333,0.527016129032258,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,7,0.6787796415291824,0.5584415584415584,0.5641025641025641,0.4590909090909091,0.5622119815668203,"{""0"": 72, ""1"": 5}",0.6802567362785339,0.55,0.55,0.52,0.5814516129032258,"{""0"": 15, ""1"": 5}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,8,0.676532514683612,0.5974025974025974,0.6022267206477733,0.5360544217687075,0.5776078759949728,"{""0"": 67, ""1"": 10}",0.6753685951232911,0.75,0.75,0.7493734335839599,0.5987903225806451,"{""0"": 11, ""1"": 9}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,9,0.6650480194525286,0.6883116883116883,0.6916329284750338,0.6681034482758621,0.6107038123167156,"{""0"": 58, ""1"": 19}",0.6715996861457825,0.75,0.75,0.7493734335839599,0.6217741935483871,"{""0"": 11, ""1"": 9}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,10,0.656103693045579,0.7012987012987013,0.703778677462888,0.6910866910866911,0.6348973607038123,"{""0"": 53, ""1"": 24}",0.6656334400177002,0.8,0.8,0.8,0.6451612903225806,"{""0"": 10, ""1"": 10}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,4,11,0.6385969713136748,0.7272727272727273,0.7290823211875843,0.7225939269171384,0.6676790950984499,"{""0"": 49, ""1"": 28}",0.6549176454544068,0.75,0.75,0.7493734335839599,0.6689516129032258,"{""0"": 9, ""1"": 11}"
