,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.2785714285714286,0.31111111111111106,0.1403174603174603,0.31111111111111106,0.17608465608465607,0.3977777777777778
std,0.01597191412499849,0.030429030972509243,0.06872621785688535,0.030429030972509243,0.04547556718595551,0.17918712200199555
