,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.31071428571428567,0.31111111111111106,0.1488888888888889,0.31111111111111106,0.18624338624338624,0.37222222222222223
std,0.12601627688840963,0.1217161238900369,0.08668178250643743,0.1217161238900369,0.08315804189092568,0.21648853075998573
