fold,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1,1,0.5,,0.5,,0.4904761904761905,,1.0,1.0
2,1,0.27777777777777773,,0.2857142857142857,,0.24444444444444446,,0.0,0.0
3,1,0.3333333333333333,,0.2857142857142857,,0.2222222222222222,,0.0,0.0
4,1,0.8333333333333334,,0.8571428571428571,,0.8222222222222223,,1.0,1.0
5,1,0.3333333333333333,,0.2857142857142857,,0.14814814814814814,,0.0,0.0
