config,split_seed,init_seed,fold,best_epoch,best_val_bacc,best_val_loss,F1,D,F2,temporal_kern,separable_kern,pool1,pool2,total_pool,agg,meanmax_alpha,lr,weight_decay,dropout,standardize,class_weights,chance_bacc,majority_class,majority_test_bacc,majority_test_acc,majority_test_macro_f1,train_bacc,train_acc,train_macro_f1,val_bacc,val_acc,val_macro_f1,test_bacc,test_acc,test_macro_f1,test_loss,test_bacc_minus_chance,test_bacc_minus_majority,test_acc_minus_majority,test_macro_f1_minus_majority,test_gt_chance,test_gt_majority_bacc,train_pred_counts,val_pred_counts,test_pred_counts,test_target_counts,test_confusion_matrix,history_path,predictions_path,checkpoint_path
eegnet_small_t600_meanmax050,4557,1680,1,9,0.4444444444444444,1.1109838485717773,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.047619104385376, 1.047619104385376, 0.9166666865348816]",0.3333333333333333,2,0.3333333333333333,0.375,0.1818181818181818,0.2619047619047619,0.2727272727272727,0.21832358674463936,0.4444444444444444,0.3333333333333333,0.27777777777777773,0.2222222222222222,0.25,0.13333333333333333,1.0850204229354858,-0.1111111111111111,-0.1111111111111111,-0.125,-0.048484848484848464,0,0,"{""2"": 10, ""1"": 12}","{""1"": 5, ""2"": 1}","{""1"": 7, ""2"": 1}","{""0"": 2, ""1"": 3, ""2"": 3}","[[0, 2, 0], [0, 2, 1], [0, 3, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_1\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_1\predictions.csv,
eegnet_small_t600_meanmax050,4557,7464,1,1,0.3333333333333333,1.0697593688964844,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.047619104385376, 1.047619104385376, 0.9166666865348816]",0.3333333333333333,2,0.3333333333333333,0.375,0.1818181818181818,0.3333333333333333,0.3181818181818182,0.16091954022988506,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.13333333333333333,1.1201316118240356,0.0,0.0,-0.125,-0.048484848484848464,0,0,"{""0"": 22}","{""0"": 6}","{""0"": 8}","{""0"": 2, ""1"": 3, ""2"": 3}","[[2, 0, 0], [3, 0, 0], [3, 0, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_7464\fold_1\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_7464\fold_1\predictions.csv,
eegnet_small_t600_meanmax050,4557,4750,1,17,0.3333333333333333,1.1315279006958008,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.047619104385376, 1.047619104385376, 0.9166666865348816]",0.3333333333333333,2,0.3333333333333333,0.375,0.1818181818181818,0.3333333333333333,0.3181818181818182,0.16091954022988506,0.3333333333333333,0.16666666666666666,0.09523809523809523,0.3333333333333333,0.375,0.1818181818181818,1.1014971733093262,0.0,0.0,0.0,0.0,0,0,"{""1"": 22}","{""1"": 6}","{""1"": 8}","{""0"": 2, ""1"": 3, ""2"": 3}","[[0, 2, 0], [0, 3, 0], [0, 3, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_4750\fold_1\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_4750\fold_1\predictions.csv,
eegnet_small_t600_meanmax050,4557,1680,2,28,0.3333333333333333,1.0557682514190674,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[0.9583333134651184, 1.0952380895614624, 0.9583333134651184]",0.3333333333333333,0,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.33928571428571425,0.34782608695652173,0.2333333333333333,0.3333333333333333,0.5,0.25,0.3333333333333333,0.42857142857142855,0.19999999999999998,1.0942729711532593,0.0,0.0,0.14285714285714285,0.05185185185185184,0,0,"{""2"": 20, ""1"": 3}","{""2"": 5, ""1"": 1}","{""2"": 7}","{""2"": 3, ""0"": 2, ""1"": 2}","[[0, 0, 2], [0, 0, 2], [0, 0, 3]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_2\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_2\predictions.csv,
eegnet_small_t600_meanmax050,4557,7464,2,1,0.3333333333333333,1.116330623626709,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[0.9583333134651184, 1.0952380895614624, 0.9583333134651184]",0.3333333333333333,0,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.3333333333333333,0.34782608695652173,0.17204301075268816,0.3333333333333333,0.16666666666666666,0.09523809523809523,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.1011368036270142,0.0,0.0,0.0,0.0,0,0,"{""0"": 23}","{""0"": 6}","{""0"": 7}","{""2"": 3, ""0"": 2, ""1"": 2}","[[2, 0, 0], [2, 0, 0], [3, 0, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_7464\fold_2\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_7464\fold_2\predictions.csv,
eegnet_small_t600_meanmax050,4557,4750,2,1,0.3333333333333333,1.1022769212722778,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[0.9583333134651184, 1.0952380895614624, 0.9583333134651184]",0.3333333333333333,0,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.3333333333333333,0.30434782608695654,0.15555555555555556,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.1148085594177246,0.0,0.0,0.0,0.0,0,0,"{""1"": 23}","{""1"": 6}","{""1"": 7}","{""2"": 3, ""0"": 2, ""1"": 2}","[[0, 2, 0], [0, 2, 0], [0, 3, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_4750\fold_2\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_4750\fold_2\predictions.csv,
eegnet_small_t600_meanmax050,4557,1680,3,8,0.5,1.107086420059204,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.2751322751322751,0.2608695652173913,0.17948717948717952,0.5,0.5,0.41269841269841273,0.27777777777777773,0.2857142857142857,0.22857142857142856,1.1040480136871338,-0.05555555555555558,-0.05555555555555558,-0.14285714285714285,0.02857142857142858,0,0,"{""1"": 19, ""2"": 4}","{""1"": 5, ""2"": 1}","{""1"": 5, ""2"": 2}","{""2"": 3, ""1"": 2, ""0"": 2}","[[0, 2, 0], [0, 1, 1], [0, 2, 1]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_3\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_3\predictions.csv,
eegnet_small_t600_meanmax050,4557,7464,3,3,0.3333333333333333,1.1106315851211548,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.2857142857142857,0.2608695652173913,0.13793103448275862,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.1025536060333252,0.0,0.0,-0.14285714285714285,-0.05185185185185184,0,0,"{""0"": 22, ""2"": 1}","{""0"": 6}","{""0"": 7}","{""2"": 3, ""1"": 2, ""0"": 2}","[[2, 0, 0], [2, 0, 0], [3, 0, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_7464\fold_3\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_7464\fold_3\predictions.csv,
eegnet_small_t600_meanmax050,4557,4750,3,25,0.3333333333333333,1.0872352123260498,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.0952380895614624, 1.0952380895614624, 0.8518518805503845]",0.3333333333333333,2,0.3333333333333333,0.42857142857142855,0.19999999999999998,0.3333333333333333,0.30434782608695654,0.15555555555555556,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.1084294319152832,0.0,0.0,-0.14285714285714285,-0.05185185185185184,0,0,"{""1"": 23}","{""1"": 6}","{""1"": 7}","{""2"": 3, ""1"": 2, ""0"": 2}","[[0, 2, 0], [0, 2, 0], [0, 3, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_4750\fold_3\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_4750\fold_3\predictions.csv,
eegnet_small_t600_meanmax050,4557,1680,4,1,0.3333333333333333,1.1202402114868164,8,2,16,63,15,8,8,64,meanmax,0.0,0.0001,0.0001,0.5,True,"[1.2777777910232544, 1.0952380895614624, 0.7666666507720947]",0.3333333333333333,2,0.3333333333333333,0.2857142857142857,0.14814814814814814,0.3333333333333333,0.30434782608695654,0.15555555555555556,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.14814814814814814,1.1419014930725098,0.0,0.0,0.0,0.0,0,0,"{""1"": 23}","{""1"": 6}","{""1"": 7}","{""1"": 2, ""0"": 3, ""2"": 2}","[[0, 3, 0], [0, 2, 0], [0, 2, 0]]",outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_4\history.csv,outputs\eeg_ct\ablation_top3_mean_closed\eegnet_small_t600_meanmax050\splitseed_4557\initseed_1680\fold_4\predictions.csv,
