fold,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1,9,0.30864197530864196,0.048995394649344264,0.2777777777777778,0.0551198189805123,0.1441077441077441,0.02137980857425931,0.0,0.0
2,9,0.30864197530864196,0.07407407407407407,0.30158730158730157,0.08584645893961879,0.15379188712522046,0.031404690479897766,0.0,0.0
3,9,0.3024691358024691,0.07407407407407408,0.2857142857142857,0.07142857142857144,0.15696649029982362,0.03751020502596,0.0,0.0
4,9,0.3024691358024691,0.06279935169560434,0.2698412698412698,0.04761904761904762,0.14094650205761317,0.021604938271604937,0.0,0.0
5,9,0.32098765432098764,0.03703703703703704,0.30158730158730157,0.047619047619047616,0.15861258083480304,0.020900773145715056,0.0,0.0
