fold,best_epoch,n_epochs,test_accuracy,test_balanced_accuracy,test_f1_macro
0,22,37,0.45454545454545453,0.4166666666666667,0.3125
1,73,88,0.6363636363636364,0.65,0.6333333333333333
2,1,16,0.5,0.5,0.3333333333333333
3,71,86,0.6363636363636364,0.6,0.5416666666666666
4,40,55,0.7,0.6666666666666667,0.6703296703296704
