init_seed,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
92,5,0.3333333333333333,0.0,0.3892857142857143,0.06237231855918921,0.185993265993266,0.022573491451180577,0.0,0.0
592,5,0.3222222222222222,0.09938079899999064,0.3,0.12777531299998798,0.17666666666666667,0.10386561434671922,0.2,0.2
1160,5,0.17777777777777776,0.20184335693983277,0.16428571428571428,0.1814060728457185,0.10999999999999999,0.137234592334926,0.2,0.2
1653,5,0.3666666666666666,0.1082977149423218,0.36428571428571427,0.13458174058154834,0.23195767195767197,0.12887351017278392,0.2,0.2
1680,5,0.4111111111111111,0.06334307917217435,0.41428571428571426,0.07824607964359516,0.3013756613756614,0.08711508056011276,0.8,0.8
1924,5,0.3333333333333333,0.11785113019775792,0.3071428571428571,0.12268260026655477,0.1907407407407407,0.11831579885157989,0.2,0.2
2027,5,0.31111111111111106,0.04969039949999533,0.33214285714285713,0.0663363415035954,0.17742183742183743,0.02044590414233556,0.0,0.0
2566,5,0.31111111111111106,0.04969039949999533,0.36071428571428565,0.07187361356249324,0.17562289562289563,0.026156220599831848,0.0,0.0
3431,5,0.3,0.17391639824998364,0.275,0.16540765967013443,0.19703703703703704,0.1424217350592386,0.4,0.4
3502,5,0.3333333333333333,0.0,0.3071428571428571,0.0696199596057783,0.15555555555555553,0.025660011963983362,0.0,0.0
3562,5,0.37777777777777777,0.1204415743815489,0.41785714285714287,0.14485214136195176,0.30158730158730157,0.15034044956981454,0.4,0.4
4750,5,0.45555555555555555,0.22703129713002834,0.4428571428571429,0.24948927423675685,0.3855026455026455,0.2759703353447864,0.4,0.4
5518,5,0.3333333333333333,0.0,0.3892857142857143,0.06237231855918921,0.2051851851851852,0.04637770619999562,0.0,0.0
5997,5,0.3333333333333333,0.0785674201318386,0.3857142857142857,0.095831484749991,0.21259259259259258,0.08994740118215686,0.2,0.2
6127,5,0.3,0.04969039949999533,0.2785714285714286,0.0159719141249985,0.17343915343915345,0.03749602220348121,0.0,0.0
6735,5,0.37777777777777777,0.07243558228002943,0.41785714285714287,0.10381744181249024,0.2640885040885041,0.12047637012868959,0.4,0.4
7236,5,0.3,0.07453559924999298,0.275,0.08337583949949111,0.14555555555555555,0.0414003836884071,0.0,0.0
7464,5,0.38888888888888884,0.10393492741038726,0.3857142857142857,0.095831484749991,0.29534391534391535,0.10960455066458252,0.6,0.6
7748,5,0.34444444444444444,0.06085806194501847,0.33214285714285713,0.0663363415035954,0.224021164021164,0.07804510801254412,0.2,0.2
9873,5,0.3333333333333333,0.0,0.3892857142857143,0.06237231855918921,0.185993265993266,0.022573491451180577,0.0,0.0
