,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.3607142857142857,0.3333333333333333,0.14007936507936508,0.3333333333333333,0.19488215488215488,0.3455555555555555
std,0.07187361356249324,0.0,0.03608711918853859,0.0,0.03486954258944022,0.11569702878266061
