fold,best_epoch,n_epochs,val_accuracy,val_balanced_accuracy,val_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
0,0,1,0.1111111111111111,0.1,0.1,0.5454545454545454,0.5166666666666667,0.47619047619047616
1,0,1,0.4444444444444444,0.425,0.41558441558441556,0.5454545454545454,0.5166666666666667,0.47619047619047616
2,0,1,0.3333333333333333,0.325,0.325,0.6,0.6000000000000001,0.5833333333333333
3,0,1,0.3333333333333333,0.35,0.325,0.18181818181818182,0.18333333333333335,0.18181818181818182
4,0,1,0.375,0.375,0.2727272727272727,0.5,0.4583333333333333,0.45054945054945056
