fold,best_epoch,n_epochs,val_accuracy,val_balanced_accuracy,val_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
0,1,16,0.3333333333333333,0.3,0.25,0.45454545454545453,0.4166666666666667,0.3125
1,1,16,0.4444444444444444,0.425,0.41558441558441556,0.36363636363636365,0.3333333333333333,0.26666666666666666
2,2,17,0.2222222222222222,0.25,0.18181818181818182,0.6,0.6,0.5238095238095238
3,1,16,0.5555555555555556,0.5,0.35714285714285715,0.5454545454545454,0.5166666666666667,0.47619047619047616
4,1,16,0.25,0.25,0.2,0.5,0.5,0.4949494949494949
