number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_F2,params_batch_size,params_dropout,params_grad_clip,params_huber_delta,params_loss,params_lr,params_meanmax_alpha,params_norm,params_pool1,params_pool2,params_separable_kern,params_temporal_kern,params_weight_decay,user_attrs_fold_details,user_attrs_mean_best_val_nrmse,user_attrs_std_best_val_nrmse,state
32,0.977433768841369,2026-05-26 02:11:54.141850,2026-05-26 02:13:39.964892,0 days 00:01:45.823042,3,12,48,4,0.3464317054116815,5.0,0.9430568126058465,huber,0.0017578390975986537,0.5,group,4,16,15,31,1e-05,,,,PRUNED
33,0.9700677835371256,2026-05-26 02:13:40.121347,2026-05-26 02:14:17.325688,0 days 00:00:37.204341,3,4,48,4,0.4420842985114033,5.0,0.6344625209003824,huber,0.0009206600468261913,0.5,group,4,16,15,31,1e-05,,,,PRUNED
34,0.964657113138866,2026-05-26 02:14:17.483550,2026-05-26 02:17:54.226604,0 days 00:03:36.743054,3,12,48,4,0.24951986922613467,5.0,,mse,0.0019751865003249064,0.0,group,4,16,15,127,1e-05,,,,PRUNED
35,0.9800051371746297,2026-05-26 02:17:54.385421,2026-05-26 02:19:02.688875,0 days 00:01:08.303454,3,12,24,4,0.274310391926096,1.0,0.7647652338166062,huber,0.0005127047776861597,0.5,group,4,16,63,31,0.01,,,,PRUNED
36,0.9963612103679966,2026-05-26 02:19:02.845886,2026-05-26 02:20:11.782790,0 days 00:01:08.936904,4,8,48,4,0.3304289599697503,2.0,,mse,0.0016771258918712403,0.25,group,4,16,15,127,1e-05,,,,PRUNED
37,1.0027424828807079,2026-05-26 02:20:11.942884,2026-05-26 02:20:55.285261,0 days 00:00:43.342377,3,4,8,8,0.23320343482319794,5.0,0.4504455697701835,huber,0.0008935005297021234,0.0,group,4,8,31,31,1e-05,,,,PRUNED
38,1.014266085473852,2026-05-26 02:20:55.442373,2026-05-26 02:21:45.463408,0 days 00:00:50.021035,1,12,48,4,0.42033642477809446,0.5,,mse,0.00012434027722215272,0.1,group,16,16,15,63,1e-06,,,,PRUNED
39,0.981791305701682,2026-05-26 02:21:45.622619,2026-05-26 02:22:45.292070,0 days 00:00:59.669451,4,4,32,4,0.3541762543788362,2.0,0.6021976926339194,huber,0.0021900565647062194,0.5,group,4,16,7,31,1e-05,,,,PRUNED
40,0.9493949196227146,2026-05-26 02:22:45.450584,2026-05-26 02:24:03.595965,0 days 00:01:18.145381,3,12,24,2,0.5467214000702918,5.0,,mse,0.00030606469664056694,0.5,group,8,8,63,127,0.001,,,,PRUNED
41,0.9657163587689457,2026-05-26 02:24:03.754804,2026-05-26 02:34:52.108215,0 days 00:10:48.353411,3,12,48,8,0.2766337644892569,1.0,1.1370486948049499,huber,0.0016132721552049533,0.1,group,4,16,31,63,1e-05,"[{'trial': 41, 'fold': 1, 'best_epoch': 26, 'best_val_loss': 0.18213495079960143, 'best_val_rmse': 0.6094478448053136, 'best_val_nrmse': 0.9156309195168386, 'best_val_mae': 0.4590343064850285, 'best_val_r2': 0.1616200192247489}, {'trial': 41, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.35617092677525114, 'best_val_rmse': 0.8860097714642073, 'best_val_nrmse': 0.9799855210326406, 'best_val_mae': 0.6798133433219933, 'best_val_r2': 0.039628378566384015}, {'trial': 41, 'fold': 3, 'best_epoch': 10, 'best_val_loss': 0.25324631279165094, 'best_val_rmse': 0.7225005813413444, 'best_val_nrmse': 0.9655427033949429, 'best_val_mae': 0.5858068232085895, 'best_val_r2': 0.0677272879207852}, {'trial': 41, 'fold': 4, 'best_epoch': 1, 'best_val_loss': 0.32601062882514226, 'best_val_rmse': 0.8398327651730256, 'best_val_nrmse': 0.9741803734361755, 'best_val_mae': 0.6402082934177348, 'best_val_r2': 0.05097260001175341}, {'trial': 41, 'fold': 5, 'best_epoch': 3, 'best_val_loss': 0.32618490674278955, 'best_val_rmse': 0.8586690515411851, 'best_val_nrmse': 0.9932422764641315, 'best_val_mae': 0.6178489538671618, 'best_val_r2': 0.01346978024434986}]",0.9657163587689457,0.029755277104331884,COMPLETE
42,0.9590151857486892,2026-05-26 02:34:52.271610,2026-05-26 02:37:00.280544,0 days 00:02:08.008934,3,12,48,8,0.2529847181018133,1.0,0.9569223841746561,huber,0.0014058711589479392,0.1,group,4,16,31,63,1e-05,,,,PRUNED
43,0.971325578512583,2026-05-26 02:37:00.446623,2026-05-26 02:39:32.348476,0 days 00:02:31.901853,3,12,48,8,0.2266784034294183,1.0,1.0983508115818683,huber,0.0005495498124809229,0.1,group,4,16,31,63,1e-05,,,,PRUNED
44,0.9449470144291853,2026-05-26 02:39:32.508313,2026-05-26 02:52:45.655131,0 days 00:13:13.146818,3,12,48,8,0.3138307533345571,1.0,1.28261322199022,huber,0.0023195963229838005,0.1,group,4,16,31,63,1e-06,"[{'trial': 44, 'fold': 1, 'best_epoch': 15, 'best_val_loss': 0.18988635249081112, 'best_val_rmse': 0.616257032984235, 'best_val_nrmse': 0.9258610044807466, 'best_val_mae': 0.5127494766243866, 'best_val_r2': 0.142781400381903}, {'trial': 44, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.3714814441544669, 'best_val_rmse': 0.8894126526656886, 'best_val_nrmse': 0.9837493331424493, 'best_val_mae': 0.6787895294172424, 'best_val_r2': 0.03223724954178642}, {'trial': 44, 'fold': 3, 'best_epoch': 17, 'best_val_loss': 0.23512602123347195, 'best_val_rmse': 0.6873199569702072, 'best_val_nrmse': 0.9185276614148153, 'best_val_mae': 0.5587386322546412, 'best_val_r2': 0.1563069352158304}, {'trial': 44, 'fold': 4, 'best_epoch': 9, 'best_val_loss': 0.31429012758391245, 'best_val_rmse': 0.8144587828111429, 'best_val_nrmse': 0.9447473283849156, 'best_val_mae': 0.6188335185870528, 'best_val_r2': 0.10745248550956432}, {'trial': 44, 'fold': 5, 'best_epoch': 17, 'best_val_loss': 0.32151434096423065, 'best_val_rmse': 0.8228847451204246, 'best_val_nrmse': 0.9518497447229995, 'best_val_mae': 0.6071358319287273, 'best_val_r2': 0.09398206347076066}]",0.9449470144291853,0.0255712997665397,COMPLETE
45,0.94782985538904,2026-05-26 02:52:45.816000,2026-05-26 02:55:17.473728,0 days 00:02:31.657728,3,12,64,8,0.3063338477570904,1.0,1.3486678492540956,huber,0.0022571504649241785,0.1,group,16,16,31,63,1e-06,,,,PRUNED
46,0.9767345860376303,2026-05-26 02:55:17.634714,2026-05-26 02:56:07.465982,0 days 00:00:49.831268,1,16,48,8,0.48449269660739186,5.0,1.2969721560113618,huber,0.0010169617774158088,0.25,group,8,8,15,95,1e-06,,,,PRUNED
47,1.0109188767797475,2026-05-26 02:56:07.625755,2026-05-26 03:00:29.528024,0 days 00:04:21.902269,4,8,8,4,0.38128905001997176,1.0,0.23850207845820925,huber,5.9426248260149664e-05,0.0,group,4,4,15,31,1e-06,,,,PRUNED
48,0.9992542840158424,2026-05-26 03:00:29.687247,2026-05-26 03:01:41.657699,0 days 00:01:11.970452,3,12,32,4,0.32388580094244124,5.0,0.7363240712556894,huber,0.0007043049822531436,0.1,group,4,16,31,63,0.0,,,,PRUNED
49,0.9603281613306992,2026-05-26 03:01:41.818908,2026-05-26 03:06:43.274653,0 days 00:05:01.455745,3,4,16,4,0.3897205564444181,0.5,,mse,0.002417764967367766,0.5,group,16,16,15,31,0.0001,"[{'trial': 49, 'fold': 1, 'best_epoch': 33, 'best_val_loss': 0.33228830737616155, 'best_val_rmse': 0.5764445303638706, 'best_val_nrmse': 0.8660469306543049, 'best_val_mae': 0.42186691310434116, 'best_val_r2': 0.2499627139042575}, {'trial': 49, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.7891622668220883, 'best_val_rmse': 0.8883480495056253, 'best_val_nrmse': 0.9825718114986602, 'best_val_mae': 0.6867096642298358, 'best_val_r2': 0.03455263524824126}, {'trial': 49, 'fold': 3, 'best_epoch': 20, 'best_val_loss': 0.5205913836305792, 'best_val_rmse': 0.721520187135112, 'best_val_nrmse': 0.9642325141761038, 'best_val_mae': 0.5862176194363697, 'best_val_r2': 0.07025565860562977}, {'trial': 49, 'fold': 4, 'best_epoch': 3, 'best_val_loss': 0.7373197078704834, 'best_val_rmse': 0.8586732277318593, 'best_val_nrmse': 0.996034734938127, 'best_val_mae': 0.6498066138564831, 'best_val_r2': 0.007914806796734952}, {'trial': 49, 'fold': 5, 'best_epoch': 2, 'best_val_loss': 0.7365889862518419, 'best_val_rmse': 0.8582476359900322, 'best_val_nrmse': 0.9927548153863003, 'best_val_mae': 0.6223361044698819, 'best_val_r2': 0.014437876527312765}]",0.9603281613306992,0.054141993161075555,COMPLETE
50,0.9670065353189635,2026-05-26 03:06:43.433832,2026-05-26 03:21:01.035126,0 days 00:14:17.601294,3,16,64,8,0.4519168446245996,5.0,0.8643320995295765,huber,0.002920456596663649,0.5,group,8,16,7,31,1e-06,"[{'trial': 50, 'fold': 1, 'best_epoch': 18, 'best_val_loss': 0.1775066323933147, 'best_val_rmse': 0.6148859371828171, 'best_val_nrmse': 0.923801078073428, 'best_val_mae': 0.49275755580692066, 'best_val_r2': 0.14659156815037222}, {'trial': 50, 'fold': 2, 'best_epoch': 6, 'best_val_loss': 0.30404062498183476, 'best_val_rmse': 0.8772792329172575, 'best_val_nrmse': 0.9703289668473646, 'best_val_mae': 0.6469573570149285, 'best_val_r2': 0.0584616960969262}, {'trial': 50, 'fold': 3, 'best_epoch': 9, 'best_val_loss': 0.2421192635189403, 'best_val_rmse': 0.7255169759292804, 'best_val_nrmse': 0.9695737835908017, 'best_val_mae': 0.5796558572064069, 'best_val_r2': 0.059926678173417236}, {'trial': 50, 'fold': 4, 'best_epoch': 10, 'best_val_loss': 0.2990527507804689, 'best_val_rmse': 0.84038666947137, 'best_val_nrmse': 0.9748228855154677, 'best_val_mae': 0.6577382039367443, 'best_val_r2': 0.04972034187529739}, {'trial': 50, 'fold': 5, 'best_epoch': 4, 'best_val_loss': 0.29087142510847613, 'best_val_rmse': 0.8614905446627862, 'best_val_nrmse': 0.9965059625677555, 'best_val_mae': 0.6223483329046179, 'best_val_r2': 0.006975866566911071}]",0.9670065353189635,0.026531360637682737,COMPLETE
51,0.9740632509629954,2026-05-26 03:21:01.195924,2026-05-26 03:23:01.089854,0 days 00:01:59.893930,3,12,48,8,0.28471715115985397,1.0,1.0585524939576128,huber,0.001477918871080922,0.1,group,4,16,31,63,0.001,,,,PRUNED
52,0.9368501147154664,2026-05-26 03:23:01.250058,2026-05-26 03:37:19.350355,0 days 00:14:18.100297,3,12,48,8,0.21978356075563005,1.0,1.2770964628261325,huber,0.001176514973866791,0.1,group,4,16,31,63,0.01,"[{'trial': 52, 'fold': 1, 'best_epoch': 10, 'best_val_loss': 0.1889140974907648, 'best_val_rmse': 0.6146808631925931, 'best_val_nrmse': 0.9234929760958128, 'best_val_mae': 0.5053591336167994, 'best_val_r2': 0.1471607231016986}, {'trial': 52, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.3726162286031814, 'best_val_rmse': 0.8909658129720431, 'best_val_nrmse': 0.9854672313655746, 'best_val_mae': 0.6807116307318211, 'best_val_r2': 0.028854335904669015}, {'trial': 52, 'fold': 3, 'best_epoch': 12, 'best_val_loss': 0.2442557161504572, 'best_val_rmse': 0.7022864063755504, 'best_val_nrmse': 0.9385286778738339, 'best_val_mae': 0.5619635832157325, 'best_val_r2': 0.11916392080839333}, {'trial': 52, 'fold': 4, 'best_epoch': 24, 'best_val_loss': 0.25916984038693563, 'best_val_rmse': 0.7387260426179403, 'best_val_nrmse': 0.8568996613466344, 'best_val_mae': 0.550103570955495, 'best_val_r2': 0.26572297038402326}, {'trial': 52, 'fold': 5, 'best_epoch': 20, 'best_val_loss': 0.3387281136079268, 'best_val_rmse': 0.8471016762101605, 'best_val_nrmse': 0.9798620268954759, 'best_val_mae': 0.6539773375049911, 'best_val_r2': 0.03987040824828991}]",0.9368501147154664,0.05193013176618686,COMPLETE
53,0.9281086250728711,2026-05-26 03:37:19.513316,2026-05-26 03:39:43.412680,0 days 00:02:23.899364,3,12,48,8,0.21073656909632582,1.0,1.4260831915768915,huber,0.0010968174549547793,0.1,group,4,16,31,63,0.01,,,,PRUNED
54,0.9494422012960947,2026-05-26 03:39:43.573121,2026-05-26 03:44:38.862667,0 days 00:04:55.289546,3,12,48,8,0.3632610233589316,1.0,1.2641053853846616,huber,0.0012650647500560797,0.1,group,4,16,31,63,0.01,,,,PRUNED
55,0.988122633022968,2026-05-26 03:44:39.023989,2026-05-26 03:49:57.603969,0 days 00:05:18.579980,3,12,24,4,0.31160464751952277,1.0,1.254858008138591,huber,4.0295545181054835e-05,0.1,group,4,16,15,63,0.01,,,,PRUNED
56,0.9543225428562243,2026-05-26 03:49:57.766891,2026-05-26 03:59:58.155316,0 days 00:10:00.388425,3,12,64,8,0.21592452073667018,5.0,1.1969136989300144,huber,0.000828920700824155,0.5,group,4,8,31,31,0.0001,"[{'trial': 56, 'fold': 1, 'best_epoch': 3, 'best_val_loss': 0.18422058934257143, 'best_val_rmse': 0.6083146734516344, 'best_val_nrmse': 0.9139284494246342, 'best_val_mae': 0.48663781565569697, 'best_val_r2': 0.1647347893322838}, {'trial': 56, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.3694806184087481, 'best_val_rmse': 0.9023343369019844, 'best_val_nrmse': 0.9980415721975545, 'best_val_mae': 0.6898937718499274, 'best_val_r2': 0.0039130201654336005}, {'trial': 56, 'fold': 3, 'best_epoch': 11, 'best_val_loss': 0.25154947421767493, 'best_val_rmse': 0.7153048387724934, 'best_val_nrmse': 0.9559263834745302, 'best_val_mae': 0.5654410482384264, 'best_val_r2': 0.08620474937730549}, {'trial': 56, 'fold': 4, 'best_epoch': 3, 'best_val_loss': 0.31476778927303495, 'best_val_rmse': 0.8166635924334706, 'best_val_nrmse': 0.9473048402495454, 'best_val_mae': 0.6196232819042745, 'best_val_r2': 0.10261353963978292}, {'trial': 56, 'fold': 5, 'best_epoch': 21, 'best_val_loss': 0.3221829208460721, 'best_val_rmse': 0.8268284066974696, 'best_val_nrmse': 0.9564114689348572, 'best_val_mae': 0.6025026678107679, 'best_val_r2': 0.08527710208986872}]",0.9543225428562243,0.02999675139692141,COMPLETE
57,0.9592323979992298,2026-05-26 03:59:58.315401,2026-05-26 04:01:37.720730,0 days 00:01:39.405329,1,12,64,8,0.21584065403326846,2.0,1.1935049605093069,huber,0.0005632070695575108,0.5,group,4,8,31,95,0.0001,,,,PRUNED
58,0.9593826610491784,2026-05-26 04:01:37.882017,2026-05-26 04:04:10.073627,0 days 00:02:32.191610,4,12,64,8,0.2663059592561767,5.0,1.1923783901597527,huber,0.0008030494304651053,0.25,group,4,8,31,31,0.0001,,,,PRUNED
59,0.951384901793923,2026-05-26 04:04:10.232516,2026-05-26 04:06:20.155223,0 days 00:02:09.922707,3,12,64,8,0.23717807541147345,5.0,1.3428722890172968,huber,0.0012001425443968429,0.5,group,16,8,31,127,0.0001,,,,PRUNED
