trial,fold,best_epoch,best_val_loss,best_val_rmse,best_val_nrmse,best_val_mae,best_val_r2,F1,D,F2,temporal_kern,separable_kern,pool1,pool2,dropout,meanmax_alpha,norm,lr,weight_decay,batch_size,grad_clip,loss,huber_delta,standardize
0,1,18,0.21644993033260107,0.6635315145161614,0.9968859122947815,0.5351021137265932,0.006218477868201178,4,1,8,127,63,4,16,0.2852620618436458,0.25,group,5.682837558512268e-05,1e-06,2,2.0,huber,1.1515921243548266,True
0,2,14,0.37412287081990925,0.9145182075376539,1.0115177405171871,0.6852729409223511,-0.02316813938099549,4,1,8,127,63,4,16,0.2852620618436458,0.25,group,5.682837558512268e-05,1e-06,2,2.0,huber,1.1515921243548266,True
0,3,19,0.26843852329660545,0.7442257489349438,0.9945760046707542,0.6001497777602212,0.010818570933159855,4,1,8,127,63,4,16,0.2852620618436458,0.25,group,5.682837558512268e-05,1e-06,2,2.0,huber,1.1515921243548266,True
0,4,37,0.344892055505798,0.8625562595247206,1.0005389332963024,0.6473659466331204,-0.0010781570417024433,4,1,8,127,63,4,16,0.2852620618436458,0.25,group,5.682837558512268e-05,1e-06,2,2.0,huber,1.1515921243548266,True
0,5,3,0.33061666177077725,0.8607328814187102,0.9956295560360555,0.6285854078067298,0.008721787147447091,4,1,8,127,63,4,16,0.2852620618436458,0.25,group,5.682837558512268e-05,1e-06,2,2.0,huber,1.1515921243548266,True
1,1,16,0.4374250727040427,0.6613811746782271,0.993655254150916,0.5248231433243269,0.012649235898278488,4,4,24,127,63,16,8,0.6315517129377968,0.0,group,6.390259853593123e-05,1e-05,8,1.0,mse,1.0,True
1,2,1,0.8228109166735694,0.907089276080716,1.0033008500279188,0.683613515567101,-0.006612595666744436,4,4,24,127,63,16,8,0.6315517129377968,0.0,group,6.390259853593123e-05,1e-05,8,1.0,mse,1.0,True
1,3,22,0.5493455583398993,0.7411784823413542,0.9905036674287867,0.5939328999004581,0.018902484810123688,4,4,24,127,63,16,8,0.6315517129377968,0.0,group,6.390259853593123e-05,1e-05,8,1.0,mse,1.0,True
1,4,20,0.7535733921187264,0.8680860531606465,1.0069533251284206,0.6507655300111288,-0.013954998987182998,4,4,24,127,63,16,8,0.6315517129377968,0.0,group,6.390259853593123e-05,1e-05,8,1.0,mse,1.0,True
1,5,15,0.7449549003080889,0.8631077072341261,0.9983765717749783,0.6334240203299983,0.003244220930841535,4,4,24,127,63,16,8,0.6315517129377968,0.0,group,6.390259853593123e-05,1e-05,8,1.0,mse,1.0,True
