fold,best_epoch,n_epochs,val_accuracy,val_balanced_accuracy,val_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
0,9,24,0.4444444444444444,0.4,0.3076923076923077,0.5454545454545454,0.5,0.35294117647058826
1,1,16,0.5555555555555556,0.5,0.35714285714285715,0.5454545454545454,0.5,0.35294117647058826
2,2,17,0.5555555555555556,0.5,0.35714285714285715,0.5,0.5,0.3333333333333333
3,24,39,0.3333333333333333,0.3,0.25,0.6363636363636364,0.6333333333333333,0.6333333333333333
4,11,26,0.5,0.5,0.3333333333333333,0.5,0.4166666666666667,0.3333333333333333
