config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_temporal_acc,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_temporal_acc,val_pred_counts
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,1,0.7164102290806017,0.4605263157894737,0.4605263157894737,0.35285565939771546,0.5051994906621392,"{""0"": 69, ""1"": 7}",0.7003297805786133,0.5,0.5,0.3333333333333333,0.5004032258064516,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,2,0.7211600385214153,0.5263157894736842,0.5263157894736842,0.4077922077922078,0.4973471986417657,"{""0"": 72, ""1"": 4}",0.700187349319458,0.5,0.5,0.3333333333333333,0.4991935483870968,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,3,0.7275033310840004,0.5263157894736842,0.5263157894736842,0.4077922077922078,0.5057300509337861,"{""0"": 72, ""1"": 4}",0.7002752184867859,0.5,0.5,0.3333333333333333,0.5004032258064516,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,4,0.721375004241341,0.5394736842105263,0.5394736842105263,0.4324727970983572,0.5119906621392191,"{""0"": 71, ""1"": 5}",0.7008630752563476,0.5,0.5,0.3333333333333333,0.49959677419354837,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,5,0.7201205680244848,0.4868421052631579,0.4868421052631579,0.3993920972644377,0.5010611205432938,"{""0"": 67, ""1"": 9}",0.7015647053718567,0.5,0.5,0.3333333333333333,0.49879032258064515,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,6,0.7070162108069972,0.5921052631578947,0.5921052631578947,0.5106957424714433,0.5400042444821732,"{""0"": 69, ""1"": 7}",0.7009310722351074,0.5,0.5,0.3333333333333333,0.4967741935483871,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,7,0.7170754890692862,0.5,0.5,0.39225589225589225,0.5161290322580645,"{""0"": 70, ""1"": 6}",0.7010162115097046,0.5,0.5,0.3333333333333333,0.4967741935483871,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,8,0.712779302346079,0.5,0.5,0.39225589225589225,0.4988327674023769,"{""0"": 70, ""1"": 6}",0.7008836388587951,0.5,0.5,0.3333333333333333,0.49959677419354837,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,9,0.7161446433318289,0.4868421052631579,0.48684210526315785,0.36761254533816945,0.49299660441426146,"{""0"": 71, ""1"": 5}",0.7009415864944458,0.5,0.5,0.3333333333333333,0.5,"{""0"": 20}"
eegnet_iranies_tmin_temporal_ce_clean_t7983_tp124,3407,2025,5,10,0.7363025200994391,0.5131578947368421,0.5131578947368421,0.38211382113821135,0.49522495755517826,"{""0"": 73, ""1"": 3}",0.7007831692695617,0.5,0.5,0.3333333333333333,0.4975806451612903,"{""0"": 20}"
