config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,3407,1653,1,1,1.2236331376162441,0.3181818181818182,0.30952380952380953,0.2579979360165119,"{""2"": 11, ""1"": 1, ""0"": 10}",1.126177430152893,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,2,1.0653554201126099,0.45454545454545453,0.4523809523809524,0.42328042328042326,"{""2"": 6, ""0"": 14, ""1"": 2}",1.1261141300201416,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,3,1.2233959544788708,0.2727272727272727,0.2738095238095238,0.21010101010101012,"{""0"": 15, ""2"": 7}",1.126181721687317,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,4,1.2136691050095991,0.2727272727272727,0.2797619047619047,0.2521645021645022,"{""0"": 15, ""2"": 6, ""1"": 1}",1.1244574785232544,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,5,1.3254759094931863,0.22727272727272727,0.23214285714285712,0.1623931623931624,"{""0"": 17, ""2"": 5}",1.1223998069763184,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,6,1.1660329103469849,0.45454545454545453,0.44642857142857145,0.3606237816764133,"{""0"": 12, ""2"": 10}",1.1201753616333008,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,7,1.2917291576212102,0.13636363636363635,0.14285714285714285,0.08333333333333333,"{""0"": 17, ""2"": 4, ""1"": 1}",1.1203457117080688,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,8,1.2916970361362805,0.3181818181818182,0.3273809523809524,0.22051282051282053,"{""0"": 19, ""1"": 1, ""2"": 2}",1.1192787885665894,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,9,1.3098508661443538,0.22727272727272727,0.23214285714285712,0.1714285714285714,"{""0"": 14, ""2"": 7, ""1"": 1}",1.1203340291976929,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,10,1.1782679611986333,0.3181818181818182,0.32142857142857145,0.2404040404040404,"{""0"": 15, ""2"": 7}",1.119093656539917,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,11,1.2126654603264548,0.2727272727272727,0.2738095238095238,0.21118012422360247,"{""0"": 16, ""2"": 6}",1.1201761960983276,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
eegnet_small_t600_meanmax050,3407,1653,1,12,1.0955495617606423,0.4090909090909091,0.3988095238095238,0.3255360623781676,"{""0"": 12, ""2"": 10}",1.1192857027053833,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""0"": 6}"
