config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,7233,7464,5,1,1.3260159699813179,0.2608695652173913,0.25,0.21637426900584797,"{""0"": 10, ""2"": 11, ""1"": 2}",1.1175696849822998,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,2,1.2985249083975088,0.391304347826087,0.38095238095238093,0.365616953852248,"{""1"": 4, ""2"": 9, ""0"": 10}",1.1173502206802368,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,3,1.0463515623756077,0.4782608695652174,0.4583333333333333,0.38518518518518513,"{""0"": 12, ""1"": 1, ""2"": 10}",1.1176109313964844,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,4,1.4501477479934692,0.21739130434782608,0.21428571428571427,0.2175925925925926,"{""0"": 10, ""1"": 5, ""2"": 8}",1.1173710823059082,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,5,1.6145564369533374,0.34782608695652173,0.3333333333333333,0.27843137254901956,"{""2"": 12, ""0"": 9, ""1"": 2}",1.1179890632629395,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,6,1.6394771492999534,0.30434782608695654,0.30357142857142855,0.3101851851851852,"{""1"": 5, ""0"": 10, ""2"": 8}",1.1190365552902222,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,7,1.5886331330174985,0.30434782608695654,0.2916666666666667,0.2450980392156863,"{""0"": 12, ""2"": 9, ""1"": 2}",1.119364857673645,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,8,1.3663179978080418,0.43478260869565216,0.4226190476190476,0.402653990889285,"{""0"": 9, ""2"": 10, ""1"": 4}",1.1196218729019165,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,9,2.1656177562216055,0.2608695652173913,0.25,0.2048309178743961,"{""0"": 15, ""2"": 7, ""1"": 1}",1.1202048063278198,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,10,1.5552548429240352,0.2608695652173913,0.25,0.21010101010101012,"{""1"": 2, ""0"": 14, ""2"": 7}",1.1209887266159058,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,11,1.5210004319315371,0.21739130434782608,0.20833333333333334,0.1793372319688109,"{""0"": 11, ""2"": 10, ""1"": 2}",1.1221238374710083,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,12,1.3756848003553308,0.2608695652173913,0.25,0.21587301587301586,"{""1"": 3, ""2"": 13, ""0"": 7}",1.1221692562103271,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,13,1.3857648890951406,0.34782608695652173,0.3333333333333333,0.2707070707070707,"{""0"": 14, ""2"": 7, ""1"": 2}",1.1220449209213257,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,14,1.0784078758695852,0.391304347826087,0.375,0.3083778966131907,"{""2"": 9, ""0"": 14}",1.1222625970840454,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,15,0.9775365513304005,0.391304347826087,0.38095238095238093,0.3717171717171717,"{""0"": 12, ""2"": 7, ""1"": 4}",1.121201992034912,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,16,1.2174127490624138,0.21739130434782608,0.20833333333333334,0.18614718614718614,"{""0"": 14, ""2"": 6, ""1"": 3}",1.1217808723449707,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
eegnet_small_t600_meanmax050,7233,7464,5,17,1.3718697039977363,0.4782608695652174,0.4702380952380952,0.46989633173843703,"{""2"": 8, ""0"": 11, ""1"": 4}",1.1202921867370605,0.16666666666666666,0.3333333333333333,0.09523809523809523,"{""0"": 6}"
