init_seed,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1680,15,0.3592592592592592,0.055023911215112506,0.3428571428571428,0.08908139888227035,0.20199775533108866,0.08817357124281755,0.2,0.2
4750,15,0.37037037037037035,0.08311258239367728,0.3428571428571428,0.08908139888227035,0.21483726150392815,0.11993356377444025,0.2,0.2
7464,15,0.274074074074074,0.13191485326770302,0.25952380952380955,0.13879207834271373,0.15451980118646785,0.10739295829112173,0.13333333333333333,0.13333333333333333
