fold,best_epoch,n_epochs,val_accuracy,val_balanced_accuracy,val_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
0,2,17,0.3333333333333333,0.375,0.25,0.7272727272727273,0.7166666666666667,0.717948717948718
1,3,18,0.4444444444444444,0.45,0.4444444444444444,0.7272727272727273,0.7166666666666667,0.717948717948718
2,15,30,0.6666666666666666,0.65,0.6493506493506493,0.4,0.4,0.2857142857142857
3,11,26,0.4444444444444444,0.4,0.3076923076923077,0.45454545454545453,0.43333333333333335,0.4107142857142857
4,2,17,0.5,0.5,0.5,0.4,0.3333333333333333,0.2857142857142857
