config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,2610,1680,2,1,1.4925944312759067,0.34782608695652173,0.3068783068783069,0.22839506172839505,"{""2"": 18, ""1"": 5}",1.1116750240325928,0.3333333333333333,0.3333333333333333,0.26666666666666666,"{""1"": 3, ""2"": 3}"
eegnet_small_t600_meanmax050,2610,1680,2,2,1.477500962174457,0.2608695652173913,0.2222222222222222,0.15384615384615385,"{""2"": 17, ""1"": 5, ""0"": 1}",1.1130400896072388,0.3333333333333333,0.3333333333333333,0.26666666666666666,"{""1"": 3, ""2"": 3}"
eegnet_small_t600_meanmax050,2610,1680,2,3,1.4705822364143704,0.43478260869565216,0.39153439153439146,0.3116883116883117,"{""2"": 19, ""1"": 4}",1.1150845289230347,0.3333333333333333,0.3333333333333333,0.26666666666666666,"{""1"": 3, ""2"": 3}"
eegnet_small_t600_meanmax050,2610,1680,2,4,1.2353822925816411,0.43478260869565216,0.41269841269841273,0.35047619047619044,"{""2"": 16, ""1"": 7}",1.1186896562576294,0.3333333333333333,0.3333333333333333,0.26666666666666666,"{""1"": 3, ""2"": 3}"
eegnet_small_t600_meanmax050,2610,1680,2,5,1.6374371984730596,0.391304347826087,0.3333333333333333,0.19999999999999998,"{""2"": 21, ""1"": 2}",1.1239216327667236,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,6,1.6462854509768279,0.43478260869565216,0.39153439153439146,0.3116883116883117,"{""2"": 19, ""1"": 4}",1.130645513534546,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,7,1.4631360302800718,0.34782608695652173,0.31746031746031744,0.25641025641025644,"{""2"": 17, ""1"": 6}",1.1365025043487549,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,8,1.5898079923961475,0.43478260869565216,0.39153439153439146,0.31724137931034485,"{""2"": 20, ""1"": 3}",1.142838478088379,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,9,1.548826233200405,0.34782608695652173,0.31746031746031744,0.25555555555555554,"{""2"": 15, ""1"": 8}",1.1497317552566528,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,10,1.2725661060084468,0.43478260869565216,0.4021164021164021,0.3333333333333333,"{""1"": 6, ""2"": 17}",1.152034044265747,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,11,1.2019437396008035,0.5217391304347826,0.48677248677248675,0.4038095238095238,"{""1"": 7, ""2"": 16}",1.1583102941513062,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,12,1.2980075608129087,0.5652173913043478,0.5238095238095238,0.4567099567099568,"{""2"": 19, ""1"": 4}",1.163470983505249,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,13,1.3751180068306301,0.43478260869565216,0.4021164021164021,0.3333333333333333,"{""2"": 17, ""1"": 6}",1.1665693521499634,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,14,1.2487011888752813,0.5217391304347826,0.48677248677248675,0.4102564102564103,"{""2"": 17, ""1"": 6}",1.1716049909591675,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,15,1.2807276870893396,0.30434782608695654,0.25925925925925924,0.15555555555555556,"{""2"": 21, ""1"": 2}",1.1739572286605835,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
eegnet_small_t600_meanmax050,2610,1680,2,16,1.1347978996193928,0.4782608695652174,0.43915343915343913,0.3722943722943723,"{""2"": 19, ""1"": 4}",1.173500418663025,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""2"": 6}"
