,test_subject_accuracy,test_subject_balanced_accuracy,test_subject_macro_precision,test_subject_macro_recall,test_subject_macro_f1,test_subject_macro_auc_ovr
mean,0.30357142857142855,0.28888888888888886,0.10833333333333332,0.28888888888888886,0.15467051467051465,0.3688888888888889
std,0.10862075946961106,0.09938079899999064,0.024686239706342525,0.09938079899999064,0.0400282808820581,0.1374143953499149
