config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,9136,7464,2,1,1.3738566688869311,0.30434782608695654,0.30952380952380953,0.2984126984126984,"{""0"": 13, ""2"": 4, ""1"": 6}",1.0589604377746582,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,2,1.0672199777934863,0.4782608695652174,0.48214285714285715,0.4777777777777777,"{""0"": 9, ""2"": 7, ""1"": 7}",1.0583280324935913,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,3,1.2692450181297634,0.2608695652173913,0.26785714285714285,0.252262443438914,"{""0"": 10, ""1"": 5, ""2"": 8}",1.0582188367843628,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,4,1.3984768027844636,0.2608695652173913,0.26785714285714285,0.2503611971104231,"{""1"": 9, ""0"": 12, ""2"": 2}",1.0574404001235962,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,5,1.1729317488877669,0.391304347826087,0.4047619047619048,0.3723604826546003,"{""0"": 10, ""2"": 5, ""1"": 8}",1.0575333833694458,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,6,1.282282715258391,0.5217391304347826,0.5119047619047619,0.5056277056277056,"{""1"": 14, ""2"": 6, ""0"": 3}",1.0591235160827637,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,7,1.3057717914166658,0.21739130434782608,0.2261904761904762,0.21428571428571427,"{""0"": 9, ""2"": 6, ""1"": 8}",1.0604526996612549,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,8,1.1370550964189612,0.391304347826087,0.38690476190476186,0.38690476190476186,"{""0"": 9, ""1"": 6, ""2"": 8}",1.0620849132537842,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,9,1.512534043063288,0.30434782608695654,0.30357142857142855,0.3235294117647059,"{""0"": 10, ""1"": 9, ""2"": 4}",1.0640735626220703,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,10,1.2481916209925776,0.34782608695652173,0.3511904761904762,0.33559577677224733,"{""0"": 10, ""1"": 8, ""2"": 5}",1.0665303468704224,0.3333333333333333,0.2222222222222222,0.16666666666666666,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,9136,7464,2,11,1.3598097355469414,0.391304347826087,0.4047619047619048,0.3717948717948718,"{""0"": 13, ""2"": 5, ""1"": 5}",1.0687717199325562,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,12,1.5018248195233552,0.17391304347826086,0.16666666666666666,0.16176470588235295,"{""0"": 6, ""1"": 9, ""2"": 8}",1.0709030628204346,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,13,1.4358374761498494,0.4782608695652174,0.48809523809523814,0.4721418931945247,"{""0"": 12, ""1"": 6, ""2"": 5}",1.0729491710662842,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,14,1.1989931334619937,0.30434782608695654,0.31547619047619047,0.26031746031746034,"{""0"": 14, ""1"": 7, ""2"": 2}",1.074163794517517,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,15,1.3503111341725225,0.2608695652173913,0.26785714285714285,0.25396825396825395,"{""1"": 6, ""0"": 11, ""2"": 6}",1.077415943145752,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,16,1.2108750809793887,0.30434782608695654,0.31547619047619047,0.2814814814814815,"{""0"": 11, ""2"": 5, ""1"": 7}",1.0762866735458374,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,17,1.3949657367623371,0.34782608695652173,0.3452380952380952,0.3611111111111111,"{""2"": 4, ""1"": 10, ""0"": 9}",1.0745166540145874,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,18,1.4986553243968799,0.2608695652173913,0.2738095238095238,0.25146198830409355,"{""1"": 7, ""0"": 12, ""2"": 4}",1.0754040479660034,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
eegnet_small_t600_meanmax050,9136,7464,2,19,1.2994924991027168,0.21739130434782608,0.22023809523809523,0.2169312169312169,"{""2"": 6, ""1"": 6, ""0"": 11}",1.0756393671035767,0.3333333333333333,0.2222222222222222,0.19047619047619047,"{""0"": 2, ""2"": 4}"
