fold,best_epoch,n_epochs,val_accuracy,val_balanced_accuracy,val_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
0,16,31,0.4444444444444444,0.4,0.3076923076923077,0.5454545454545454,0.5,0.35294117647058826
1,73,88,0.5555555555555556,0.5,0.35714285714285715,0.7272727272727273,0.7,0.6857142857142857
2,1,16,0.4444444444444444,0.5,0.3076923076923077,0.5,0.5,0.3333333333333333
3,57,72,0.5555555555555556,0.5,0.35714285714285715,0.5454545454545454,0.5,0.35294117647058826
4,43,58,0.375,0.375,0.36507936507936506,0.6,0.5833333333333333,0.5833333333333333
